seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce 

seaIce coast coast tundra tundra tundra coast tundra seaIce tundra coast tundra seaIce seaIce seaIce seaIce seaIce coast tundra seaIce seaIce seaIce seaIce seaIce coast seaIce seaIce seaIce coast tundra seaIce tundra seaIce seaIce seaIce coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast coast coast coast coast coast coast tundra tundra tundra trees trees trees hills trees tundra trees tundra tundra tundra trees tundra tundra trees hills trees forest forest forest trees tundra trees forest hills tundra trees trees trees trees tundra tundra trees trees trees tundra tundra trees tundra trees trees forest forest forest hills tundra hills trees forest hills tundra tundra coast coast tundra tundra hills tundra tundra trees tundra tundra trees tundra trees tundra tundra seaIce seaIce tundra tundra tundra tundra tundra coast coast coast tundra trees tundra tundra tundra tundra trees tundra hills tundra tundra trees tundra tundra tundra tundra coast coast seaIce seaIce seaIce seaIce tundra tundra coast coast coast tundra coast seaIce seaIce coast coast tundra trees trees tundra tundra trees tundra tundra tundra tundra trees trees tundra trees trees forest forest hills trees forest forest trees tundra tundra tundra coast tundra coast coast coast tundra tundra seaIce tundra seaIce coast seaIce 

seaIce seaIce coast tundra tundra coast coast seaIce seaIce tundra seaIce coast coast seaIce seaIce seaIce coast tundra tundra tundra seaIce coast coast seaIce seaIce tundra tundra seaIce tundra seaIce seaIce coast coast tundra seaIce tundra coast seaIce tundra seaIce seaIce seaIce seaIce seaIce tundra seaIce seaIce seaIce seaIce seaIce seaIce tundra hills tundra trees hills forest forest trees tundra tundra tundra tundra tundra tundra tundra tundra trees forest trees forest forest forest trees trees forest forest hills hills forest trees trees tundra hills tundra tundra tundra trees tundra tundra trees trees forest trees forest forest trees tundra trees forest trees forest trees tundra tundra tundra coast tundra trees hills hills trees hills trees tundra trees tundra trees tundra seaIce seaIce seaIce tundra tundra seaIce seaIce tundra tundra tundra coast tundra tundra trees tundra tundra tundra trees tundra hills tundra trees trees tundra trees tundra tundra coast tundra seaIce coast tundra seaIce tundra coast seaIce coast tundra tundra tundra tundra coast seaIce coast tundra trees tundra tundra tundra tundra tundra tundra tundra hills forest forest trees forest forest forest trees tundra trees forest forest forest trees trees tundra tundra tundra tundra tundra coast tundra coast seaIce seaIce seaIce seaIce seaIce 

seaIce seaIce coast tundra coast seaIce seaIce seaIce seaIce tundra seaIce seaIce seaIce seaIce seaIce seaIce coast coast coast seaIce seaIce coast tundra tundra seaIce seaIce seaIce seaIce tundra coast coast tundra tundra hills tundra coast coast seaIce tundra tundra seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce tundra seaIce seaIce tundra trees tundra hills forest trees tundra trees trees tundra tundra tundra tundra trees trees forest forest forest forest forest forest hills trees forest trees tundra tundra trees forest forest trees forest trees trees hills trees trees trees trees tundra trees trees trees trees trees tundra tundra trees forest trees tundra tundra tundra tundra tundra hills forest forest forest trees forest trees trees forest hills tundra coast coast seaIce coast tundra tundra tundra seaIce tundra tundra tundra coast tundra tundra tundra tundra tundra tundra tundra hills forest hills trees forest trees trees trees tundra tundra tundra coast coast tundra seaIce tundra seaIce coast tundra trees tundra tundra tundra coast seaIce tundra trees tundra tundra trees tundra tundra tundra tundra tundra trees hills trees forest forest trees trees forest trees trees forest trees forest trees tundra tundra tundra tundra tundra tundra tundra coast coast tundra seaIce seaIce seaIce seaIce 

seaIce seaIce coast tundra coast seaIce seaIce tundra coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast seaIce seaIce seaIce seaIce coast tundra coast coast tundra coast coast tundra trees forest trees tundra coast coast tundra coast seaIce coast coast seaIce seaIce seaIce seaIce coast seaIce coast tundra tundra trees forest trees tundra trees trees trees trees trees tundra trees trees tundra trees trees trees trees trees forest trees trees tundra trees trees trees tundra tundra trees forest forest forest forest trees hills forest forest forest forest forest hills tundra tundra tundra tundra tundra trees trees trees forest hills tundra tundra tundra tundra tundra hills forest forest forest forest forest forest forest trees tundra tundra tundra seaIce seaIce coast coast tundra coast seaIce seaIce seaIce tundra seaIce seaIce coast tundra tundra coast tundra tundra tundra trees trees trees forest trees tundra tundra tundra tundra tundra tundra seaIce seaIce seaIce tundra tundra coast tundra tundra tundra tundra coast coast tundra trees tundra tundra tundra tundra tundra tundra tundra tundra tundra trees trees trees forest forest trees forest forest forest forest trees hills trees tundra tundra tundra tundra tundra tundra trees tundra tundra coast coast seaIce seaIce seaIce seaIce 

seaIce seaIce seaIce coast tundra tundra tundra seaIce seaIce tundra seaIce seaIce seaIce seaIce coast tundra coast coast coast tundra tundra seaIce tundra tundra coast tundra tundra tundra tundra coast tundra trees forest forest trees tundra tundra tundra tundra tundra tundra tundra coast seaIce seaIce seaIce coast tundra seaIce seaIce coast tundra trees forest trees trees forest trees tundra tundra trees tundra hills forest trees forest forest trees forest forest forest trees trees tundra hills forest forest trees tundra tundra trees forest forest trees trees hills forest forest trees trees trees trees tundra trees trees tundra tundra hills tundra trees trees tundra tundra tundra tundra trees tundra tundra trees trees trees trees trees forest forest forest trees trees tundra coast seaIce coast seaIce coast coast seaIce seaIce seaIce seaIce seaIce seaIce coast coast tundra coast coast tundra tundra trees trees forest trees tundra tundra trees tundra tundra tundra tundra tundra seaIce seaIce tundra tundra coast tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra trees trees hills forest trees trees forest trees forest trees forest forest forest forest forest forest hills tundra tundra tundra tundra tundra tundra tundra coast tundra coast seaIce seaIce seaIce seaIce 

seaIce coast seaIce coast tundra tundra seaIce seaIce seaIce seaIce seaIce tundra seaIce seaIce seaIce tundra tundra tundra coast coast coast seaIce seaIce tundra tundra tundra tundra trees tundra tundra trees forest forest forest hills tundra trees tundra trees trees trees tundra coast seaIce seaIce seaIce seaIce seaIce seaIce coast tundra trees forest trees trees hills forest trees tundra tundra trees trees trees forest trees forest trees trees trees forest forest hills tundra tundra tundra trees forest hills hills tundra tundra trees trees trees tundra tundra trees forest hills trees trees trees trees trees trees tundra trees forest hills tundra tundra trees tundra tundra tundra tundra tundra tundra tundra hills forest forest forest forest forest trees trees hills tundra coast tundra seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast tundra seaIce coast coast tundra seaIce tundra trees tundra tundra hills tundra hills trees trees tundra tundra tundra tundra tundra coast coast coast seaIce seaIce tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra hills forest forest trees forest forest forest trees forest forest forest trees forest trees forest trees forest trees tundra tundra tundra tundra coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce 

seaIce seaIce tundra tundra seaIce seaIce seaIce coast tundra seaIce seaIce seaIce coast coast tundra tundra tundra tundra tundra seaIce seaIce seaIce coast tundra tundra tundra trees tundra tundra tundra trees forest forest trees trees tundra tundra tundra trees trees hills tundra tundra coast coast tundra coast tundra seaIce coast tundra tundra trees trees trees forest forest trees tundra hills hills trees trees forest forest forest trees tundra trees trees trees tundra trees trees trees forest forest forest forest hills trees tundra tundra tundra trees hills forest forest hills tundra trees forest hills trees tundra tundra tundra trees tundra hills trees trees tundra trees hills tundra tundra tundra tundra trees trees trees forest forest trees hills forest forest trees tundra coast coast coast seaIce seaIce seaIce tundra seaIce coast tundra tundra coast coast tundra tundra coast tundra tundra trees trees trees trees forest forest hills tundra tundra tundra tundra tundra tundra tundra tundra coast coast coast tundra tundra tundra tundra tundra tundra trees trees tundra tundra tundra hills tundra trees trees trees trees trees trees tundra hills trees trees trees forest trees trees tundra trees forest trees trees trees trees tundra tundra seaIce tundra seaIce seaIce seaIce seaIce seaIce seaIce 

seaIce coast tundra tundra seaIce coast coast coast tundra tundra seaIce seaIce coast coast coast tundra tundra tundra tundra seaIce seaIce seaIce coast seaIce coast tundra tundra tundra tundra tundra tundra trees trees trees tundra trees trees tundra tundra trees forest trees trees tundra coast tundra coast coast seaIce coast coast coast tundra tundra tundra trees trees tundra tundra hills tundra trees trees forest forest trees trees tundra tundra tundra trees trees tundra tundra trees trees forest forest forest hills tundra tundra tundra hills forest forest forest forest hills hills forest trees trees tundra tundra tundra trees tundra trees forest trees trees trees trees forest hills tundra tundra hills tundra hills forest forest trees trees tundra trees trees trees tundra coast tundra coast coast seaIce seaIce tundra seaIce tundra tundra tundra coast coast coast tundra tundra tundra tundra trees trees trees trees forest trees tundra tundra trees tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra trees tundra tundra tundra tundra tundra tundra tundra tundra hills forest trees forest hills tundra tundra tundra tundra trees tundra tundra tundra tundra hills trees trees trees trees tundra coast coast seaIce seaIce coast coast seaIce seaIce seaIce 

seaIce seaIce seaIce tundra seaIce seaIce tundra tundra coast seaIce coast coast coast tundra tundra tundra tundra tundra tundra coast seaIce seaIce seaIce seaIce tundra coast tundra tundra tundra tundra tundra trees tundra trees tundra tundra tundra trees hills forest forest trees trees tundra coast tundra coast tundra coast tundra coast tundra trees tundra tundra tundra trees tundra trees forest trees forest trees forest trees tundra hills tundra tundra hills forest trees tundra trees trees trees forest trees forest trees trees tundra tundra trees trees trees forest trees tundra tundra trees tundra tundra tundra tundra tundra trees trees trees forest trees tundra trees forest trees trees trees tundra tundra trees tundra trees hills tundra tundra tundra tundra trees trees trees tundra trees tundra tundra tundra tundra tundra coast tundra coast tundra tundra coast tundra trees tundra trees trees forest forest trees tundra trees trees tundra tundra tundra tundra tundra coast tundra hills tundra tundra tundra tundra tundra tundra tundra tundra trees tundra trees tundra trees trees tundra trees tundra tundra tundra tundra trees trees hills tundra coast coast coast tundra tundra coast tundra tundra tundra tundra tundra tundra tundra trees tundra tundra coast seaIce coast coast tundra coast coast seaIce 

seaIce seaIce tundra coast coast seaIce seaIce tundra coast coast tundra coast coast tundra tundra trees tundra tundra tundra coast seaIce seaIce seaIce seaIce seaIce coast coast coast tundra trees tundra trees tundra tundra tundra tundra tundra trees tundra trees trees tundra trees trees tundra tundra tundra tundra tundra trees tundra trees tundra trees trees trees trees trees trees trees trees forest forest trees trees hills forest trees trees tundra trees trees trees trees trees trees trees trees hills tundra tundra tundra tundra trees tundra tundra trees tundra tundra trees tundra tundra tundra tundra tundra tundra tundra tundra hills forest trees tundra hills hills trees trees tundra tundra tundra tundra tundra trees trees trees trees trees trees trees hills forest hills trees trees tundra coast tundra tundra coast coast seaIce seaIce tundra tundra tundra tundra trees forest forest trees trees tundra tundra tundra tundra tundra tundra tundra tundra tundra coast tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra trees trees forest trees trees trees tundra tundra tundra tundra trees trees trees tundra trees tundra seaIce seaIce coast coast tundra seaIce coast tundra tundra tundra trees tundra trees forest trees tundra tundra tundra tundra tundra tundra tundra seaIce seaIce 

seaIce seaIce tundra coast seaIce seaIce tundra tundra coast tundra tundra coast tundra tundra tundra tundra tundra tundra tundra tundra tundra seaIce tundra seaIce tundra tundra tundra tundra trees trees trees trees trees tundra tundra trees tundra tundra tundra tundra trees trees hills forest trees trees tundra tundra tundra tundra trees forest trees trees hills forest forest forest forest forest hills trees hills tundra tundra hills hills tundra trees hills forest forest trees tundra tundra tundra trees tundra tundra tundra hills tundra tundra tundra tundra trees hills hills tundra trees trees tundra tundra trees tundra tundra tundra trees tundra trees tundra trees forest hills tundra tundra tundra tundra tundra tundra tundra tundra trees tundra trees tundra trees tundra trees trees tundra tundra tundra tundra seaIce seaIce tundra coast coast coast seaIce tundra tundra trees trees tundra trees trees tundra tundra coast coast tundra hills trees tundra tundra tundra coast coast tundra tundra tundra trees tundra tundra tundra tundra tundra seaIce tundra tundra hills tundra tundra tundra tundra tundra trees tundra tundra tundra tundra tundra trees tundra coast seaIce seaIce seaIce tundra seaIce coast tundra tundra trees forest trees forest forest trees tundra seaIce seaIce coast tundra coast seaIce coast seaIce 

seaIce seaIce tundra coast seaIce seaIce tundra tundra tundra trees tundra coast tundra trees trees hills hills tundra trees trees trees tundra tundra tundra tundra trees trees trees forest hills tundra tundra trees tundra tundra trees tundra trees trees tundra trees trees trees forest forest trees trees trees tundra tundra trees hills tundra trees hills forest forest forest trees trees tundra tundra tundra tundra tundra trees trees trees forest forest forest trees trees hills tundra tundra trees tundra tundra trees tundra trees trees trees tundra hills hills forest trees trees tundra coast tundra tundra tundra trees tundra trees tundra hills trees tundra trees tundra tundra tundra tundra tundra trees hills trees trees trees trees tundra tundra tundra tundra trees forest hills tundra tundra coast coast coast coast coast coast tundra coast seaIce tundra tundra tundra coast tundra trees tundra tundra coast tundra tundra tundra tundra tundra tundra tundra tundra coast tundra tundra tundra tundra tundra trees tundra tundra seaIce tundra tundra tundra tundra coast seaIce coast coast coast tundra trees tundra tundra tundra tundra tundra coast tundra tundra seaIce seaIce seaIce seaIce coast tundra tundra tundra trees trees forest trees trees tundra seaIce seaIce seaIce seaIce coast seaIce seaIce seaIce 

seaIce coast tundra seaIce seaIce tundra coast tundra tundra tundra tundra tundra tundra tundra trees forest forest hills tundra trees trees tundra trees tundra trees hills hills hills trees tundra tundra tundra hills trees trees trees tundra tundra trees tundra tundra trees tundra hills hills trees tundra tundra tundra trees tundra tundra trees forest trees trees trees forest trees trees trees tundra tundra tundra trees tundra tundra tundra trees forest trees hills forest forest trees trees tundra hills hills trees trees trees tundra trees tundra hills hills forest forest trees tundra coast coast coast tundra tundra tundra trees trees forest trees tundra trees tundra tundra tundra tundra tundra trees forest forest forest forest forest hills trees tundra tundra tundra trees hills trees trees tundra coast tundra tundra coast coast coast tundra tundra tundra seaIce coast coast coast tundra coast coast coast tundra coast tundra tundra coast coast tundra tundra coast coast tundra tundra trees tundra tundra tundra seaIce seaIce tundra seaIce coast tundra seaIce seaIce tundra coast tundra tundra tundra hills tundra tundra tundra coast coast tundra tundra coast seaIce seaIce seaIce coast coast tundra tundra trees forest forest trees tundra tundra tundra seaIce seaIce seaIce tundra tundra seaIce seaIce 

seaIce seaIce seaIce seaIce tundra tundra seaIce seaIce tundra hills tundra tundra tundra tundra trees forest trees tundra trees hills trees trees trees tundra trees forest forest forest hills tundra tundra trees forest trees forest trees trees trees trees tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra trees tundra tundra hills forest trees trees trees forest trees hills forest hills hills trees tundra tundra tundra tundra trees trees tundra tundra trees forest forest trees trees forest forest trees trees tundra trees forest hills tundra trees trees forest trees tundra coast coast coast tundra trees trees forest forest forest hills tundra trees trees hills tundra trees tundra hills forest trees forest trees forest forest trees trees trees tundra trees forest hills trees tundra tundra trees tundra coast tundra tundra tundra tundra tundra seaIce seaIce coast tundra tundra coast seaIce coast tundra coast tundra tundra coast coast tundra tundra tundra coast coast seaIce tundra tundra tundra tundra tundra seaIce tundra seaIce coast seaIce seaIce seaIce coast tundra coast tundra tundra hills tundra coast coast seaIce coast tundra coast seaIce coast coast seaIce coast coast tundra tundra trees forest trees trees tundra seaIce seaIce seaIce seaIce seaIce coast seaIce seaIce seaIce 

seaIce seaIce seaIce coast tundra coast coast seaIce tundra tundra tundra tundra tundra tundra trees forest trees trees forest forest forest forest forest trees hills forest trees trees hills trees trees forest forest trees trees trees forest forest hills tundra tundra tundra tundra tundra trees tundra tundra hills trees forest hills tundra trees trees tundra tundra tundra trees trees trees trees tundra tundra tundra tundra coast coast tundra tundra tundra trees tundra trees trees trees trees forest forest trees trees tundra tundra tundra trees trees tundra trees trees forest trees trees tundra seaIce tundra tundra trees forest trees trees trees tundra tundra trees tundra hills tundra trees trees forest forest hills trees tundra trees trees tundra trees trees tundra trees forest forest trees trees trees tundra tundra tundra coast seaIce seaIce seaIce coast seaIce coast tundra tundra coast coast seaIce coast coast coast tundra coast coast tundra tundra seaIce coast coast seaIce seaIce seaIce seaIce coast tundra coast seaIce seaIce seaIce seaIce seaIce seaIce coast tundra coast coast coast tundra hills tundra tundra tundra tundra coast coast seaIce coast tundra coast coast coast tundra tundra tundra tundra trees tundra tundra coast seaIce tundra coast coast tundra tundra coast seaIce seaIce 

ocean ocean ocean ocean coast coast ocean coast grassland grassland coast coast grassland trees grassland trees forest trees forest hills hills trees forest trees grassland trees trees forest forest trees trees forest trees trees forest forest forest trees grassland grassland trees trees grassland grassland grassland trees trees forest trees trees grassland grassland grassland grassland grassland grassland trees grassland trees trees trees grassland grassland coast coast coast grassland grassland hills grassland grassland grassland trees trees forest trees forest trees trees forest trees trees grassland grassland grassland grassland trees trees trees trees grassland coast ocean coast grassland trees forest forest trees trees trees grassland trees trees forest trees trees grassland trees trees grassland trees grassland grassland grassland hills hills forest hills trees forest forest trees forest trees grassland grassland coast coast ocean ocean ocean ocean coast grassland grassland coast coast ocean ocean ocean ocean ocean coast coast coast grassland coast ocean ocean ocean ocean ocean ocean ocean coast coast ocean ocean ocean ocean ocean ocean coast grassland grassland grassland coast coast grassland grassland hills grassland grassland hills grassland coast ocean coast grassland coast grassland grassland grassland grassland grassland grassland grassland grassland grassland coast ocean coast coast coast coast coast coast ocean ocean 

ocean ocean ocean ocean ocean ocean ocean coast grassland coast coast grassland grassland grassland trees grassland trees grassland trees forest forest forest trees trees grassland grassland grassland trees forest trees hills forest trees forest forest trees trees trees grassland trees grassland trees grassland grassland grassland trees forest forest trees trees grassland grassland hills grassland grassland grassland grassland grassland grassland grassland grassland grassland coast coast ocean coast grassland grassland grassland grassland grassland grassland grassland grassland trees hills hills grassland grassland trees trees trees hills hills grassland hills hills forest forest trees grassland coast coast grassland trees forest trees forest trees trees grassland trees forest forest trees forest trees trees trees trees grassland grassland trees trees grassland grassland grassland trees grassland trees forest trees trees trees forest trees grassland coast ocean ocean ocean ocean ocean ocean coast grassland coast ocean ocean ocean ocean ocean ocean ocean ocean coast coast ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean coast grassland coast coast ocean coast grassland grassland grassland grassland grassland grassland coast coast coast grassland grassland coast coast grassland grassland grassland grassland grassland coast coast grassland grassland coast ocean ocean ocean ocean ocean ocean ocean ocean 

ocean ocean ocean ocean ocean ocean ocean ocean coast coast coast coast grassland hills grassland grassland grassland grassland grassland trees forest trees grassland grassland trees grassland grassland grassland trees grassland grassland trees grassland trees trees trees trees forest trees forest trees forest trees trees grassland trees trees trees trees trees grassland grassland grassland grassland grassland grassland grassland trees trees grassland grassland grassland coast coast ocean coast coast grassland grassland grassland grassland coast grassland grassland trees trees grassland grassland grassland trees trees trees forest forest trees forest forest trees trees grassland grassland coast coast grassland trees trees trees forest trees trees trees trees forest trees trees trees trees forest forest forest hills trees trees trees grassland trees trees trees grassland trees forest forest hills grassland hills grassland coast coast ocean ocean ocean ocean ocean ocean coast coast ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean coast coast grassland coast grassland coast grassland grassland grassland grassland grassland grassland grassland coast grassland coast grassland grassland grassland grassland grassland grassland trees grassland coast coast coast coast coast coast ocean ocean ocean ocean ocean ocean ocean ocean 

