seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean seaIce seaIce seaIce seaIce seaIce seaIce ocean ocean ocean seaIce ocean ocean ocean ocean ocean seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean ocean ocean ocean ocean seaIce seaIce seaIce ocean seaIce ocean ocean seaIce seaIce seaIce ocean seaIce ocean seaIce seaIce ocean seaIce ocean seaIce ocean seaIce seaIce ocean seaIce ocean seaIce seaIce ocean ocean seaIce seaIce seaIce ocean ocean seaIce seaIce ocean seaIce ocean seaIce seaIce seaIce seaIce seaIce seaIce ocean ocean seaIce seaIce seaIce seaIce ocean ocean seaIce seaIce ocean seaIce ocean seaIce seaIce seaIce seaIce ocean seaIce ocean ocean ocean seaIce seaIce seaIce seaIce seaIce seaIce ocean seaIce seaIce ocean ocean seaIce seaIce ocean seaIce seaIce ocean ocean ocean ocean ocean seaIce ocean ocean seaIce seaIce seaIce ocean ocean seaIce seaIce ocean ocean ocean ocean seaIce ocean seaIce seaIce ocean seaIce seaIce ocean seaIce seaIce ocean seaIce ocean ocean seaIce seaIce ocean ocean seaIce ocean seaIce seaIce ocean seaIce seaIce seaIce seaIce ocean ocean seaIce ocean seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean ocean seaIce ocean ocean ocean ocean seaIce seaIce ocean seaIce ocean seaIce seaIce seaIce seaIce seaIce seaIce seaIce 

seaIce ocean seaIce tundra coast tundra tundra trees trees tundra seaIce tundra tundra tundra coast coast tundra coast seaIce seaIce seaIce ocean coast seaIce coast seaIce coast seaIce coast tundra coast seaIce seaIce coast tundra trees trees forest trees forest forest forest forest trees trees trees forest forest trees forest forest trees forest trees forest forest forest forest forest trees forest forest forest forest forest trees trees forest trees forest trees trees tundra coast seaIce tundra tundra seaIce seaIce tundra coast forest forest forest trees forest trees forest trees forest forest forest trees forest forest trees trees forest forest trees tundra coast seaIce tundra coast tundra forest forest trees forest trees tundra trees forest tundra tundra tundra seaIce seaIce seaIce seaIce seaIce coast coast tundra tundra tundra coast coast forest forest forest forest forest forest forest forest forest forest forest trees tundra tundra trees forest forest forest trees trees forest trees forest trees trees forest trees trees trees trees tundra coast ocean seaIce tundra tundra tundra tundra tundra coast seaIce tundra tundra tundra trees forest trees trees trees trees forest trees forest forest trees forest trees tundra tundra trees forest trees coast seaIce seaIce tundra tundra tundra tundra coast ocean 

ocean seaIce coast tundra tundra tundra tundra tundra tundra tundra seaIce coast tundra tundra tundra tundra trees tundra seaIce coast tundra coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce tundra coast seaIce coast tundra trees trees forest forest trees trees trees forest forest trees trees forest trees trees forest forest trees trees forest trees forest forest trees forest forest trees forest forest trees forest trees forest forest forest forest trees tundra tundra seaIce seaIce tundra tundra seaIce seaIce seaIce coast forest forest forest forest forest trees trees trees forest forest forest forest forest forest forest forest forest trees trees trees tundra seaIce seaIce tundra trees forest forest forest forest forest trees trees forest trees forest trees tundra tundra tundra coast seaIce tundra seaIce coast tundra trees tundra trees forest forest trees forest forest forest forest trees trees forest forest trees trees trees trees forest trees forest trees trees forest forest forest trees trees trees forest trees forest forest trees tundra seaIce seaIce coast tundra tundra tundra coast seaIce seaIce coast coast tundra trees forest trees trees trees forest forest forest trees trees trees trees forest trees trees forest forest trees tundra seaIce seaIce tundra tundra tundra tundra coast ocean 

seaIce ocean seaIce coast coast tundra tundra coast coast tundra seaIce seaIce coast tundra tundra tundra tundra tundra coast tundra coast coast seaIce seaIce seaIce seaIce ocean ocean seaIce seaIce seaIce seaIce seaIce coast coast forest trees forest forest trees trees trees forest forest trees forest forest trees trees forest forest forest forest forest forest trees trees tundra trees forest forest forest trees forest forest trees trees forest forest trees tundra seaIce seaIce seaIce tundra tundra seaIce seaIce seaIce seaIce coast forest forest forest trees trees forest forest forest forest forest trees trees trees forest forest forest forest forest forest forest trees tundra seaIce coast trees forest forest forest forest forest trees trees forest forest forest trees trees tundra tundra coast seaIce seaIce ocean coast coast tundra tundra trees forest trees trees forest forest forest forest forest trees forest trees trees trees forest forest trees forest forest forest trees trees trees trees trees trees trees trees trees forest trees trees tundra coast coast tundra tundra tundra coast ocean seaIce seaIce seaIce tundra trees forest forest forest forest forest forest trees trees forest trees forest forest forest trees forest forest trees tundra coast coast coast coast tundra tundra tundra coast ocean 

ocean ocean coast tundra coast coast coast coast seaIce seaIce seaIce coast tundra coast coast tundra tundra coast seaIce tundra seaIce tundra seaIce seaIce tundra coast seaIce ocean coast tundra tundra tundra tundra tundra trees forest forest forest forest forest trees forest forest forest trees trees forest forest forest trees forest forest trees trees forest forest forest trees forest forest forest trees trees forest forest trees trees trees trees trees tundra coast coast seaIce tundra trees tundra tundra seaIce coast tundra trees forest forest trees forest forest forest forest trees forest trees trees trees trees forest trees trees forest forest forest trees coast seaIce coast trees forest forest forest forest trees trees trees forest forest forest trees trees trees forest coast tundra seaIce coast tundra tundra trees trees forest trees trees forest forest forest trees trees forest trees forest forest trees trees forest trees trees trees forest forest forest trees trees forest forest forest forest trees forest trees forest trees tundra tundra tundra tundra tundra trees tundra coast seaIce coast seaIce tundra trees forest forest trees forest forest trees trees forest trees forest forest trees trees trees forest forest trees trees tundra tundra tundra tundra tundra coast tundra seaIce ocean 

ocean coast tundra tundra tundra tundra tundra tundra coast seaIce seaIce ocean coast coast tundra tundra tundra tundra coast tundra seaIce tundra seaIce seaIce seaIce seaIce seaIce seaIce seaIce tundra tundra trees trees tundra trees forest trees forest forest forest forest forest forest forest trees forest forest trees trees trees forest trees trees trees forest forest forest forest forest forest forest trees forest forest trees forest forest forest trees trees tundra tundra tundra tundra trees tundra tundra tundra seaIce coast tundra tundra trees forest trees forest forest trees forest trees forest forest forest forest trees forest forest forest forest forest trees trees tundra tundra tundra trees forest forest trees forest forest forest trees trees forest forest trees forest forest trees tundra coast coast tundra trees trees forest forest forest trees forest trees trees forest forest trees forest forest trees trees trees forest forest forest trees trees forest forest forest forest forest forest forest forest forest forest trees forest forest trees trees tundra tundra tundra trees forest trees tundra coast tundra tundra tundra trees trees trees forest trees forest forest forest forest trees trees forest trees trees forest trees forest forest forest trees trees trees trees tundra coast seaIce seaIce seaIce 

ocean coast tundra trees tundra coast coast coast seaIce seaIce seaIce seaIce seaIce coast tundra tundra coast coast seaIce seaIce seaIce coast seaIce seaIce seaIce seaIce seaIce seaIce coast tundra trees trees forest trees forest forest forest forest trees forest trees forest trees forest trees forest trees forest forest forest forest forest forest trees trees forest forest forest forest forest trees forest forest trees forest trees trees forest forest trees tundra trees trees trees tundra tundra tundra tundra coast tundra trees tundra trees forest forest forest forest forest forest trees trees forest forest forest forest forest trees forest forest trees tundra tundra tundra trees trees trees trees trees trees forest forest forest forest forest forest trees trees trees trees tundra tundra tundra tundra trees forest forest forest trees forest forest trees forest forest forest forest trees forest forest trees tundra trees trees forest forest trees trees trees forest forest trees forest forest trees trees forest trees forest trees trees tundra tundra tundra tundra trees tundra trees trees tundra trees forest trees tundra trees forest trees forest forest forest trees forest forest forest forest trees forest forest forest trees trees forest trees forest forest forest forest trees tundra tundra coast seaIce 

ocean ocean coast tundra trees tundra tundra tundra seaIce seaIce seaIce seaIce seaIce ocean coast coast seaIce seaIce seaIce seaIce seaIce coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast trees forest forest forest forest trees forest forest trees trees forest forest trees forest forest forest trees trees trees trees forest forest trees tundra tundra trees trees forest trees trees forest forest trees trees trees trees forest forest forest trees trees forest forest forest trees trees tundra tundra tundra trees forest trees trees trees trees forest forest forest forest forest trees trees forest trees forest trees forest forest forest forest trees trees trees forest forest forest trees forest forest forest forest forest forest trees forest trees trees forest trees trees tundra trees trees tundra trees trees trees trees forest forest trees forest trees forest trees forest forest forest trees tundra trees forest forest trees trees trees trees trees trees forest trees forest trees forest forest forest forest forest trees trees tundra tundra tundra tundra tundra tundra tundra trees trees trees tundra trees forest trees forest forest forest forest forest trees trees forest forest forest forest trees trees trees trees trees forest trees forest forest forest forest trees tundra coast seaIce 

ocean coast tundra tundra tundra tundra coast coast seaIce seaIce seaIce seaIce seaIce coast coast tundra coast tundra seaIce seaIce tundra tundra seaIce seaIce seaIce ocean coast tundra tundra tundra trees trees forest trees trees trees trees forest trees trees forest trees tundra trees forest forest forest trees forest forest forest trees trees trees trees forest forest forest forest forest forest forest trees forest forest trees trees trees forest forest trees trees forest trees tundra tundra trees trees trees trees forest forest forest forest trees trees forest trees trees forest trees forest forest trees trees trees trees forest trees forest trees trees trees forest forest forest forest trees trees trees forest forest forest trees trees trees trees forest trees trees trees forest trees trees trees forest forest trees forest forest forest trees trees forest trees trees trees trees trees trees forest forest forest forest forest forest trees tundra trees forest trees forest trees forest forest trees trees forest trees tundra tundra tundra trees tundra tundra tundra tundra trees trees trees trees trees forest forest forest forest trees forest forest trees forest trees forest forest forest trees trees forest forest forest forest forest forest forest trees trees tundra coast seaIce seaIce 

seaIce coast tundra tundra tundra tundra tundra tundra coast coast seaIce seaIce coast tundra tundra tundra coast seaIce tundra seaIce seaIce seaIce seaIce seaIce seaIce ocean ocean coast tundra trees forest forest forest forest forest forest trees forest forest forest trees tundra trees forest forest forest forest trees forest forest forest trees forest forest forest trees forest forest forest forest forest forest trees trees forest trees trees forest forest forest forest forest forest trees trees trees forest forest forest forest forest forest forest trees tundra trees forest forest forest forest forest forest trees trees trees forest trees forest forest forest forest forest forest forest forest forest forest forest forest forest trees forest forest forest forest trees forest forest forest forest trees forest forest forest trees forest forest forest trees trees trees forest forest trees forest forest trees tundra trees trees trees forest trees trees forest forest trees tundra trees trees forest forest trees forest forest forest forest forest forest trees trees tundra trees trees tundra trees tundra trees forest forest trees forest forest forest forest trees trees forest trees forest trees trees forest forest forest trees trees forest trees trees forest forest forest trees trees forest trees tundra coast seaIce 

seaIce coast tundra tundra tundra tundra tundra trees tundra tundra seaIce seaIce seaIce coast coast tundra tundra seaIce seaIce seaIce seaIce seaIce coast tundra seaIce seaIce seaIce ocean seaIce tundra trees forest forest trees trees forest trees forest forest forest trees tundra trees forest forest trees trees forest forest forest forest forest forest forest trees trees forest forest forest forest forest forest trees forest forest forest trees trees trees trees forest forest forest trees trees trees trees forest forest forest forest forest forest trees trees trees trees forest forest forest forest forest forest forest forest trees forest trees forest trees forest forest forest forest forest forest forest trees trees forest forest forest forest forest forest forest forest forest forest forest trees forest forest forest trees forest trees forest forest forest forest trees trees trees trees forest forest trees forest forest forest trees forest forest forest forest trees trees forest forest forest forest trees forest forest forest forest forest forest trees trees trees forest forest trees tundra tundra trees forest forest forest trees trees forest forest trees forest trees forest trees trees forest forest trees trees forest trees trees trees forest forest forest forest forest forest forest forest tundra coast seaIce 

seaIce coast tundra tundra tundra tundra tundra tundra coast coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean seaIce seaIce seaIce seaIce ocean seaIce seaIce seaIce seaIce tundra trees forest forest forest forest forest forest trees trees forest trees forest forest trees tundra tundra trees trees trees forest forest forest trees trees forest forest trees trees trees forest forest trees forest forest trees trees forest forest forest trees forest forest forest trees tundra trees trees forest trees trees forest trees trees forest forest forest forest trees forest forest forest forest trees forest trees forest trees trees trees forest trees trees trees trees trees forest forest forest forest trees forest trees forest forest trees trees trees forest forest forest forest trees forest forest forest forest trees forest trees forest trees trees forest forest forest forest trees forest forest trees forest forest trees forest forest forest trees trees trees forest forest trees trees forest forest forest forest forest forest forest forest forest trees trees trees tundra trees forest trees forest forest forest forest forest forest forest forest forest forest trees forest forest forest forest forest trees trees trees trees forest forest trees trees forest forest trees tundra coast seaIce 

seaIce coast tundra tundra tundra tundra coast coast ocean seaIce seaIce seaIce seaIce ocean seaIce ocean seaIce tundra seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast coast tundra trees forest forest forest trees forest forest trees trees trees forest trees forest forest trees trees trees tundra trees forest forest forest forest forest forest trees trees forest trees trees forest forest trees trees trees forest trees trees forest forest forest forest forest trees forest trees tundra trees forest trees forest forest forest trees trees forest trees forest forest trees forest trees forest forest trees trees forest forest trees trees forest forest forest forest forest forest trees forest forest forest forest forest trees trees trees trees trees trees forest trees forest forest forest forest forest forest forest forest forest trees trees forest forest forest forest forest forest forest forest forest forest forest forest forest forest forest trees trees forest trees trees forest trees forest trees forest trees trees trees trees forest forest forest forest forest forest trees forest trees forest forest forest forest forest forest trees forest trees forest forest forest forest trees trees trees forest forest forest forest trees forest forest forest forest forest forest forest tundra coast ocean 

seaIce coast tundra tundra tundra tundra tundra coast coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce tundra seaIce seaIce seaIce seaIce coast tundra seaIce seaIce coast coast tundra tundra trees forest forest forest forest forest forest forest forest forest forest forest forest trees trees tundra trees trees trees forest forest forest forest trees forest forest forest forest forest forest forest forest trees forest forest forest forest trees forest forest trees trees forest forest forest forest trees trees forest forest trees forest trees trees forest forest forest forest trees forest forest trees trees forest forest forest trees trees forest trees forest forest forest forest forest trees forest trees trees trees forest forest trees forest forest trees trees trees trees forest forest forest forest trees forest forest trees trees forest forest trees trees forest forest trees trees forest forest forest forest forest forest forest trees trees forest forest forest forest forest forest trees trees trees forest forest forest trees forest trees forest forest forest trees forest trees trees trees forest trees trees trees forest forest trees trees trees trees trees forest trees trees trees forest trees trees trees trees forest forest forest forest trees trees forest forest forest trees coast seaIce ocean 

ocean coast tundra tundra tundra tundra tundra tundra tundra seaIce tundra tundra seaIce tundra seaIce seaIce tundra tundra seaIce seaIce seaIce seaIce seaIce coast tundra tundra tundra tundra tundra trees trees trees trees trees trees forest forest trees forest forest trees forest trees tundra tundra tundra tundra trees forest trees forest trees trees forest forest trees forest forest forest forest forest forest forest forest trees trees tundra trees trees forest forest forest forest trees forest trees trees forest trees forest forest trees forest trees trees trees forest trees trees trees trees tundra trees trees forest forest trees forest trees forest trees trees forest trees tundra trees trees tundra trees forest forest forest forest forest forest forest forest forest trees forest forest trees trees forest forest forest trees trees trees trees trees forest forest trees trees trees trees forest forest forest forest forest trees trees trees forest trees trees forest forest forest trees forest forest forest forest trees forest forest trees forest forest forest trees tundra trees forest forest forest forest forest forest trees trees forest forest trees forest forest trees trees trees forest trees tundra tundra tundra trees forest forest trees forest trees forest forest forest trees tundra seaIce ocean 

ocean seaIce coast coast tundra tundra tundra coast seaIce seaIce tundra tundra coast coast seaIce seaIce seaIce seaIce ocean seaIce seaIce tundra tundra coast tundra tundra trees tundra tundra tundra tundra tundra tundra tundra tundra forest tundra tundra trees trees tundra tundra tundra coast tundra coast coast tundra trees tundra forest tundra tundra trees trees forest forest forest forest forest forest trees forest forest trees trees tundra trees forest forest forest forest forest forest forest forest forest trees trees trees trees tundra trees trees trees forest trees tundra tundra tundra tundra tundra trees forest forest forest forest trees forest forest trees forest forest forest trees trees trees trees trees forest trees trees forest trees trees forest forest forest trees trees forest trees trees forest forest forest forest trees tundra trees trees trees forest trees trees forest trees trees forest forest trees trees trees forest trees forest forest forest forest trees forest forest trees forest forest trees forest trees forest trees forest trees trees tundra trees forest forest trees forest trees trees trees forest forest forest forest forest forest forest trees forest forest forest forest trees tundra trees forest forest forest trees trees trees forest forest trees tundra tundra seaIce seaIce 

ocean ocean ocean ocean coast coast coast ocean ocean ocean coast grassland coast ocean ocean ocean ocean ocean ocean ocean coast grassland coast coast coast grassland grassland grassland grassland grassland grassland grassland grassland grassland coast coast coast coast grassland grassland grassland coast coast ocean coast ocean ocean coast grassland coast coast grassland trees grassland grassland trees forest deepWood forest forest trees trees forest forest trees forest trees forest trees trees forest forest forest deepWood forest hills hills grassland trees hills hills grassland hills forest trees forest trees grassland trees grassland hills grassland trees trees forest forest trees trees trees forest trees trees trees trees trees forest hills trees trees trees grassland grassland hills trees forest trees trees trees trees trees trees grassland grassland trees trees forest forest trees trees trees trees grassland hills grassland trees forest trees trees forest trees grassland grassland trees forest forest trees forest forest trees grassland trees trees forest trees forest forest forest forest forest trees trees grassland hills grassland trees forest trees trees trees forest trees forest trees forest trees forest trees forest forest forest forest trees trees forest trees grassland trees forest trees forest forest forest trees trees hills grassland grassland coast ocean ocean 

ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean coast ocean ocean ocean ocean ocean ocean ocean ocean coast grassland grassland grassland coast grassland grassland grassland grassland grassland grassland coast grassland coast ocean ocean ocean ocean coast coast coast ocean ocean ocean ocean ocean ocean ocean coast ocean ocean coast grassland coast coast grassland trees forest forest trees grassland trees trees forest forest forest trees forest trees grassland trees trees forest forest trees grassland grassland trees forest trees forest trees hills forest trees trees grassland grassland grassland trees forest trees forest forest forest forest trees trees hills forest trees trees grassland trees trees trees grassland trees trees grassland grassland grassland trees trees trees trees forest forest trees trees forest trees trees grassland grassland trees forest trees trees trees trees grassland grassland trees hills forest forest forest trees trees grassland grassland grassland trees trees trees trees forest trees grassland trees forest forest hills forest trees trees trees trees trees grassland trees forest trees forest trees trees grassland grassland trees forest trees forest trees trees trees trees forest trees hills hills grassland grassland trees grassland grassland grassland hills hills forest forest forest trees grassland hills grassland grassland coast ocean ocean 

ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean coast coast coast grassland grassland grassland trees grassland grassland coast ocean coast ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean coast coast grassland hills forest trees trees grassland trees trees forest forest forest trees grassland trees grassland trees trees trees forest forest hills trees trees forest trees trees forest trees grassland trees hills forest trees grassland trees trees trees trees trees trees trees trees grassland grassland grassland trees trees trees trees hills forest trees trees forest trees trees grassland hills forest trees grassland trees forest forest forest forest hills grassland grassland grassland trees forest trees forest trees trees trees trees grassland grassland grassland trees forest forest forest forest trees grassland grassland trees grassland grassland grassland hills grassland trees trees forest trees hills trees forest forest forest trees trees trees forest trees trees trees grassland grassland grassland trees forest trees trees trees trees forest forest trees forest trees grassland grassland trees trees trees grassland grassland grassland hills grassland trees trees trees forest trees trees grassland coast ocean ocean ocean 

ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean coast grassland grassland grassland grassland coast grassland coast coast ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean coast grassland trees grassland trees trees forest forest trees trees trees trees hills hills grassland trees trees trees trees trees grassland grassland trees forest forest forest trees grassland grassland trees hills forest trees grassland grassland grassland hills forest forest forest trees trees grassland trees grassland grassland trees grassland grassland hills forest trees grassland trees trees trees grassland grassland trees forest trees forest trees forest forest trees grassland grassland grassland trees trees trees grassland trees grassland grassland grassland grassland grassland trees grassland trees trees trees trees forest forest hills grassland grassland trees trees hills hills trees trees trees forest forest forest forest forest trees forest forest trees trees forest trees trees forest hills trees trees grassland hills hills hills trees trees forest forest trees trees forest trees trees forest forest forest trees trees trees grassland hills forest forest trees forest trees trees grassland coast ocean ocean ocean 

ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean coast grassland grassland grassland grassland grassland coast coast ocean coast coast ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean ocean coast grassland grassland trees trees grassland trees forest trees trees grassland grassland trees forest forest trees forest forest forest forest trees grassland trees grassland trees trees trees grassland grassland grassland trees grassland trees trees grassland trees trees grassland trees trees hills grassland trees grassland trees trees grassland trees trees grassland hills forest hills grassland trees trees forest trees trees forest trees trees trees trees trees trees grassland trees grassland trees forest forest forest trees trees grassland trees grassland grassland grassland trees trees trees grassland grassland hills forest trees grassland trees grassland grassland grassland grassland grassland trees forest trees forest trees trees trees trees forest trees trees trees trees forest forest trees forest hills forest forest trees trees forest forest trees forest forest trees trees grassland trees trees trees forest trees trees trees grassland grassland grassland trees forest trees grassland trees grassland grassland grassland coast ocean ocean ocean 

